"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage","Special Export Value"
"f988e9ac-1604-47b5-9b80-2500ae754c04","630899","G-force - Max & Avg - 630899","05/17/2022 4:54 AM","0.031","X Max: 0.031 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.031|0.892|0.397|0.974|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"79e45aa5-e83f-47a8-b603-9905dab8c770","630899","G-force - Max & Avg - 630899","05/17/2022 5:04 AM","0.032","X Max: 0.032 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.032|0.892|0.397|0.974|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"270555a9-3a9d-412c-a3fe-0187e889343c","630899","G-force - Max & Avg - 630899","05/17/2022 5:14 AM","0.031","X Max: 0.031 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.975 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.031|0.892|0.397|0.975|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"d3e5299b-c9ea-401a-a471-ae2a73505806","630899","G-force - Max & Avg - 630899","05/17/2022 5:24 AM","0.032","X Max: 0.032 g , Y Max: 0.891 g , Z Max: 0.398 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.032|0.891|0.398|0.973|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"d21cbce8-fefb-43f7-b8f6-9264566fcaf2","630899","G-force - Max & Avg - 630899","05/17/2022 5:34 AM","0.03","X Max: 0.03 g , Y Max: 0.891 g , Z Max: 0.396 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.03|0.891|0.396|0.973|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"c22ebf8d-1a5e-4965-ad98-225705a0cdd4","630899","G-force - Max & Avg - 630899","05/17/2022 5:44 AM","0.031","X Max: 0.031 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.031|0.892|0.397|0.973|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"75f4605f-b4a1-43a1-9efc-d25d2ab561f9","630899","G-force - Max & Avg - 630899","05/17/2022 5:54 AM","0.03","X Max: 0.03 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.03|0.892|0.397|0.974|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"1e28a50c-75d9-4177-a9ab-11e240495ee2","630899","G-force - Max & Avg - 630899","05/17/2022 6:04 AM","0.031","X Max: 0.031 g , Y Max: 0.892 g , Z Max: 0.398 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.031|0.892|0.398|0.974|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"09ab2d81-f9b4-48e1-8488-aaf3727d59f3","630899","G-force - Max & Avg - 630899","05/17/2022 6:14 AM","0.031","X Max: 0.031 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.975 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.031|0.892|0.397|0.975|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"35f63c0d-1285-47fa-affa-13f97017a439","630899","G-force - Max & Avg - 630899","05/17/2022 6:24 AM","0.031","X Max: 0.031 g , Y Max: 0.891 g , Z Max: 0.396 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.031|0.891|0.396|0.973|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"b9d374ac-ea96-4bdb-a424-4ac5a3cd9e6b","630899","G-force - Max & Avg - 630899","05/17/2022 6:34 AM","0.032","X Max: 0.032 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.032|0.892|0.397|0.973|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"515c2cfd-dde0-4850-856e-c9f58ce7f3e2","630899","G-force - Max & Avg - 630899","05/17/2022 6:44 AM","0.03","X Max: 0.03 g , Y Max: 0.891 g , Z Max: 0.398 g , Magnitude Max: 0.975 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.03|0.891|0.398|0.975|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"4074c11f-0bec-41aa-b49c-3ba112a121b1","630899","G-force - Max & Avg - 630899","05/17/2022 6:54 AM","0.03","X Max: 0.03 g , Y Max: 0.893 g , Z Max: 0.397 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.03|0.893|0.397|0.974|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"8e2dc084-0447-49b2-b518-fa2a765e06bb","630899","G-force - Max & Avg - 630899","05/17/2022 7:04 AM","0.03","X Max: 0.03 g , Y Max: 0.891 g , Z Max: 0.397 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.03|0.891|0.397|0.973|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"e58e61fe-7112-4208-be4f-2e3808a11b65","630899","G-force - Max & Avg - 630899","05/17/2022 7:14 AM","0.031","X Max: 0.031 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.031|0.892|0.397|0.973|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"6e5d9702-25c3-481a-aa66-f0f05a1f9feb","630899","G-force - Max & Avg - 630899","05/17/2022 7:24 AM","0.031","X Max: 0.031 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.031|0.892|0.397|0.974|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"3e061114-e9dc-4963-a58e-07e65a41e8a5","630899","G-force - Max & Avg - 630899","05/17/2022 7:34 AM","0.031","X Max: 0.031 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.031|0.892|0.397|0.973|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"8156cfa0-e3cf-435d-b4a4-341b3c1f52a7","630899","G-force - Max & Avg - 630899","05/17/2022 7:44 AM","0.03","X Max: 0.03 g , Y Max: 0.891 g , Z Max: 0.396 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.03|0.891|0.396|0.974|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"66d56c0e-23ac-47bc-a736-2d78cc9c4e99","630899","G-force - Max & Avg - 630899","05/17/2022 7:54 AM","0.03","X Max: 0.03 g , Y Max: 0.893 g , Z Max: 0.398 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.03|0.893|0.398|0.974|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.95"
"902dc422-d59c-4ac5-8788-ad12174f2922","630899","G-force - Max & Avg - 630899","05/17/2022 8:04 AM","0.032","X Max: 0.032 g , Y Max: 0.891 g , Z Max: 0.397 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.032|0.891|0.397|0.973|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.95"
"408e2eb8-5e51-49da-b3e5-8b94c6c4e806","630899","G-force - Max & Avg - 630899","05/17/2022 8:14 AM","0.031","X Max: 0.031 g , Y Max: 0.893 g , Z Max: 0.396 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.031|0.893|0.396|0.974|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.95"
"775c49d8-9a16-4e73-a081-9fd55a1bf407","630899","G-force - Max & Avg - 630899","05/17/2022 8:24 AM","0.032","X Max: 0.032 g , Y Max: 0.892 g , Z Max: 0.398 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.884 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.032|0.892|0.398|0.974|0.023|0.884|0.386|0.964|0","0","971850","False","0","2.95"
"ecfcfc2b-f3f8-4e83-b3c6-ee5e96617eee","630899","G-force - Max & Avg - 630899","05/17/2022 8:27 AM","1.114","X Max: 1.114 g , Y Max: 1.379 g , Z Max: 0.715 g , Magnitude Max: 1.699 g , X Avg: 0.028 g , Y Avg: 0.884 g , Z Avg: 0.384 g , Magnitude Mean: 0.965 g","100","1.114|1.379|0.715|1.699|0.028|0.884|0.384|0.965|2","2","971850","True","0","2.95"
"765daaeb-abaf-43d6-a128-d747f8c4f22c","630899","G-force - Max & Avg - 630899","05/17/2022 8:29 AM","1.095","X Max: 1.095 g , Y Max: 2.188 g , Z Max: 1.047 g , Magnitude Max: 2.548 g , X Avg: 0.192 g , Y Avg: 0.84 g , Z Avg: 0.449 g , Magnitude Mean: 0.973 g","100","1.095|2.188|1.047|2.548|0.192|0.84|0.449|0.973|2","2","971850","True","0","2.95"
"110a3e23-796d-45a8-944c-e739408e194a","630899","G-force - Max & Avg - 630899","05/17/2022 8:29 AM","0.332","X Max: 0.332 g , Y Max: 1.291 g , Z Max: 2.117 g , Magnitude Max: 2.238 g , X Avg: 0.153 g , Y Avg: 1.038 g , Z Avg: 0.648 g , Magnitude Mean: 1.282 g","100","0.332|1.291|2.117|2.238|0.153|1.038|0.648|1.282|2","2","971850","True","0","2.96"
"fbece6c6-b28f-4a62-95e6-ef93449fdfd1","630899","G-force - Max & Avg - 630899","05/17/2022 8:29 AM","0.737","X Max: 0.737 g , Y Max: 2.276 g , Z Max: 0.676 g , Magnitude Max: 2.396 g , X Avg: 0.172 g , Y Avg: 0.932 g , Z Avg: 0.264 g , Magnitude Mean: 0.995 g","100","0.737|2.276|0.676|2.396|0.172|0.932|0.264|0.995|2","2","971850","True","0","2.96"
"2f177a65-13e2-4126-9acf-4cdb13a28eb5","630899","G-force - Max & Avg - 630899","05/17/2022 8:29 AM","0.422","X Max: 0.422 g , Y Max: 1.963 g , Z Max: 1.495 g , Magnitude Max: 2.309 g , X Avg: 0.042 g , Y Avg: 0.889 g , Z Avg: 0.378 g , Magnitude Mean: 0.967 g","100","0.422|1.963|1.495|2.309|0.042|0.889|0.378|0.967|2","2","971850","True","0","2.96"
"05e61000-30fb-4d83-a968-d6b0dff566a0","630899","G-force - Max & Avg - 630899","05/17/2022 8:30 AM","0.11","X Max: 0.11 g , Y Max: 1.946 g , Z Max: 0.426 g , Magnitude Max: 1.956 g , X Avg: 0.061 g , Y Avg: 0.904 g , Z Avg: 0.346 g , Magnitude Mean: 0.97 g","100","0.11|1.946|0.426|1.956|0.061|0.904|0.346|0.97|2","2","971850","True","0","2.96"
"f09e71cb-fd9d-4ea6-8ef0-1d6f219ba10f","630899","G-force - Max & Avg - 630899","05/17/2022 8:31 AM","0.649","X Max: 0.649 g , Y Max: 1.885 g , Z Max: 0.823 g , Magnitude Max: 1.98 g , X Avg: 0.069 g , Y Avg: 0.917 g , Z Avg: 0.307 g , Magnitude Mean: 0.974 g","100","0.649|1.885|0.823|1.98|0.069|0.917|0.307|0.974|2","2","971850","True","0","2.96"
"8e3554e4-d8f9-4820-be84-b9c16c2239fe","630899","G-force - Max & Avg - 630899","05/17/2022 8:31 AM","3.447","X Max: 3.447 g , Y Max: 2.222 g , Z Max: 0.786 g , Magnitude Max: 4.083 g , X Avg: 0.112 g , Y Avg: 0.954 g , Z Avg: 0.229 g , Magnitude Mean: 0.995 g","100","3.447|2.222|0.786|4.083|0.112|0.954|0.229|0.995|2","2","971850","True","0","2.96"
